id,phone_number,city,state,url
"CẦN THỢ thợ hòa đồng giỏi Bột, và 2 thợ TCN, Tiệm cách Bolsa 20 phút. Bao lương thợ Bột kinh nghiệm. $1800-2200 L/L: Henry 714-919-9119 hay 605-229-9929 Kim 714-919-9939",714-919-9119,Fountain Valley,California,https://mraovat.nguoi-viet.com/classified/th-ha-ng-listing-385317.aspx
"Tiệm đông khách, cách Bolda 30 phút có đi chung xe. CẦN GẤP THỢ BỘT, TCN có kinh ngiệm. Bao lương, đóng cửa chủ nhật, làm từ 10h-6h. L/L: 714-261-6310",714-261-6310,Santa Ana,California,https://mraovat.nguoi-viet.com/classified/can-to-nails-listing-385335.aspx
"Tiệm đông khách cần gấp nhiều thợ tay chân nước, bột kinh nghiệm làm việc thoải mái 900-1200. L/L: 714-406-9999",714-406-9999,North Tustin,California,https://mraovat.nguoi-viet.com/classified/legacy-listing-385337.aspx
"Tiệm Irvine cách Bolsa 15"" nhiều khách walk-in. Cần thợ BỘT, DIP, làm FT/PT. Bao lương. L/L: Kathy 714-487-3553",714-487-3553,Orange,California,https://mraovat.nguoi-viet.com/classified/nail-job-listing-385348.aspx
"CẦN THỢ BỘT $190+/day (TCN $130+/day). Cách WESTMINSTER 15’ Full-time tùy K/N, giỏi, nhanh nhẹn. Trách nhiệm. BỘT, DESIGN, DIP, TCN, Gel-X $70+. Fullset Gel $55+, Pedi. $50+. Professional. 949-419-7865",949-419-7865,Mission Viejo,California,https://mraovat.nguoi-viet.com/classified/cn-th-bt-day-tcn-day-cch-westminster-full-time-ty-kn-gii-nhanh-nhn-listing-385384.aspx
,,unknown,unknown,
"Tiệm Nail (Newport Beach), Mỹ Trắng, cách Bolsa 20', tip cao. Không khí gia đình. Cần Thợ Nails Tay Chân Nước, Gel. L/L: 714-495-8578",714-495-8578,Stanton,California,https://mraovat.nguoi-viet.com/classified/tim-nail-newport-beach-m-trng-cch-bolsa-tip-cao-khng-kh-gia-nh-listing-385400.aspx
"CẦN THỢ NAILS GẤP Cần thợ biết làm Bột, Tay Chân Nước, Waxing, có chỗ ở. Bao lương $1,200/tuần trở lên. Gọi: Tiên 661-476-8547",661-476-8547,Palmdale,California,https://mraovat.nguoi-viet.com/classified/cn-th-nails-gp-cn-th-bit-lm-bt-tay-chn-nc-waxing-c-ch-listing-385402.aspx
"Tiệm nail rất đông khách, cách Bolsa 20', cần gấp thợ bột kinh nghiệm. Bao lương $900/tuần trên ăn chia, tip hậu. L/L: 714-588-0739",714-588-0739,Cypress,California,https://mraovat.nguoi-viet.com/classified/tim-nail-rt-ng-khch-cch-bolsa-cn-gp-th-bt-kinh-nghim-bao-listing-385431.aspx
"Tiệm đông khách, good tips, cách Bolsa 15'. Cần Thợ Bột FT/ PT kinh nghiệm, $250/day and up, TCN + Sơn Gel đẹp $160/day and up. Call/ Text: 714-360-3463",714-360-3463,Westminster,California,https://mraovat.nguoi-viet.com/classified/tim-ng-khch-good-tips-cch-bolsa-cn-th-bt-ft-pt-kinh-nghim-listing-385432.aspx
"SANTA ANA Cần thợ bột TCN bao lương, lớn tuổi OK. Giờ mở cửa: T2-T7: 10:00AM- 7:00PM; CN 10:00AM-5:00PM. Làm FT/PT. 714-837-9430",714-837-9430,Yorba Linda,California,https://mraovat.nguoi-viet.com/classified/santa-ana-cn-th-bt-tcn-bao-lng-ln-tui-ok-gi-m-ca-t-t-listing-385434.aspx
"Cần Thợ CTN Sơn đẹp, Thợ Bột và Thợ làm Eyelash. Bao lương $700-$1,000 dưới 50. Cách Bolsa 35 phút đi xe chung. Xin LL: 714-773-2659",714-773-2659,Huntington Beach,California,https://mraovat.nguoi-viet.com/classified/cn-th-ctn-sn-p-th-bt-v-th-lm-eyelash-bao-lng--di-listing-385436.aspx
"Tiệm Nails vùng Mỹ trắng khách sang, giá cao, típ cao. Cần thợ Nữ làm Full or Part time. Biết Bột, Dip, TCN, cách Bolsa 30 phút, có carpool. 657-340-0752",657-340-0752,Fountain Valley,California,https://mraovat.nguoi-viet.com/classified/tim-nails-vng-m-trng-khch-sang-gi-cao-tp-cao-cn-th-n-lm-listing-385438.aspx
"CẦN THỢ GẤP biết làm đủ thứ, bao $800-$1,000/tuần, TIệm đông khách, gần Garden Grove. Xin L/L: Kate 310-218-3341",310-218-3341,Torrance,California,https://mraovat.nguoi-viet.com/classified/cn-th-gp-bit-lm-th-bao-tun-tim-ng-khch-gn-garden-grove-listing-385440.aspx
"Tiệm Hair-Nails Fullerton (cách Bolsa 10p) cần tuyển thợ bột biết đủ thứ, biết tóc càng tốt. Không khí gia đình, chủ dễ thương. Bao lương theo kinh nghiệm. 657-391-9551",657-391-9551,North Tustin,California,https://mraovat.nguoi-viet.com/classified/tim-hair-nails-fullerton-cch-bolsa-p-cn-tuyn-th-bt-bit-th-bit-tc-listing-385441.aspx
"Cách Bolsa 25’, Cần Thợ Bột Nữ KN, biết Dip và Gel X càng tốt. Bao $140/ngày. Vùng Mỹ trắng, Mễ trắng, Đông khách walk-in, tips cao. L/L 714-657-8068",714-657-8068,Garden Grove,California,https://mraovat.nguoi-viet.com/classified/cch-bolsa-cn-th-bt-n-kn-bit-dip-v-gel-x-cng-tt-listing-385460.aspx
"CẦN THỢ Gel, Bột, Dip. Bao $1,200/tuần. Khu trắng cách Bolsa 2h, giá cao, very good tip. Gel $42, Dip $55, Fullset $65. Close Thứ Hai. Không xe OK. 714-467-7281",714-467-7281,Huntington Beach,California,https://mraovat.nguoi-viet.com/classified/cn-th-gel-bt-dip-bao-tun-khu-trng-cch-bolsa-h-gi-cao-very-listing-385464.aspx
"TORRANCE T. NAILS. Gần biển, Đông khách. Vùng Torrance Cần Thợ Nữ Bột. Gel, Waxing, Tay Chân Nước. Bao Lương $1,200-$1,400/ 1 Tuần. L/L: Jimmy 310-619-1947",310-619-1947,Lennox,California,https://mraovat.nguoi-viet.com/classified/torrance-t-nails-gn-bin-ng-khch-vng-torrance-cn-th-n-bt-gel-waxing-listing-385477.aspx
"FULLERTON. Tiệm Nails sang trọng, nhiều Walk in, good tips. Cần Receptionist & Thợ Nữ KN dưới 40: Bột, TCN biết Wax, Eyelash càng tốt. Bao lương $800-$1,000/tuần. L/L: 657-657-3360",657-657-3360,Placentia,California,https://mraovat.nguoi-viet.com/classified/fullerton-tim-nails-sang-trng-nhiu-walk-in-good-tips-cn-receptionist-th-n-listing-385478.aspx
"CẦN THỢ Nữ trẻ Bột làm luôn Dip và Tay Chân Nước. Tiệm đẹp, sang, khách dễ, tip good, cách Bolsa 10 phút! L/L: Vy 714-360-2115",714-360-2115,Anaheim,California,https://mraovat.nguoi-viet.com/classified/cn-th-n-tr-bt-lm-lun-dip-v-tay-chn-nc-tim-p-sang-listing-385493.aspx
"Tiệm Nail cách Bolsa 25’, đông, khách Mỹ Trắng, sang, tip cao. Cần Thợ TCN, BỘT, DIP, biết làm Gel-X càng tốt. Bao Lương theo KN. Call/ Text: Vy 714-709-5959",714-709-5959,Placentia,California,https://mraovat.nguoi-viet.com/classified/tim-nail-cch-bolsa-ng-khch-m-trng-sang-tip-cao-cn-th-tcn-listing-385495.aspx
"Tiệm Nail đẹp, sang khu Mỹ trắng, tips cao T/P Cypress, cách Bolsa 15’. Cần thợ Bột (biết Wax + Facial, Eyelash càng tốt). Bao lương 120-160/day. Xin L/L: 714-886-2853",714-886-2853,Stanton,California,https://mraovat.nguoi-viet.com/classified/tim-nail-p-sang-khu-m-trng-tips-cao-tp-cypress-cch-bolsa-cn-listing-385504.aspx
